idx,port,byte,t0_ns,latency_ns
227,0,117,57771819581650,130
228,1,110,57771819942820,140
229,0,118,57771820581210,130
230,1,111,57771820942700,140
231,0,119,57771821581110,130
232,1,112,57771821942650,160
233,0,120,57771822581230,190
234,1,113,57771822942860,150
235,0,121,57771823581300,120
236,1,114,57771823942560,120
237,0,122,57771824580940,130
238,1,115,57771824942450,120
239,0,123,57771825580840,130
240,1,116,57771825942360,140
241,0,124,57771826580900,170
242,1,117,57771826942490,170
243,0,125,57771827580990,170
244,1,118,57771827942710,150
245,0,126,57771828580670,140
246,1,119,57771828942180,120
247,0,127,57771829580580,130
248,1,120,57771829942100,120
249,0,128,57771830580530,160
250,1,121,57771830942320,130
251,0,129,57771831580640,130
252,1,122,57771831942010,160
253,0,130,57771832580590,180
254,1,123,57771832941890,140
255,0,131,57771833580320,130
256,1,124,57771833941820,130
257,0,132,57771834580460,130
258,1,125,57771834942250,190
259,0,133,57771835580670,120
260,1,126,57771835941730,140
261,0,134,57771836580100,130
262,1,127,57771836941600,120
263,0,135,57771837580010,160
264,1,128,57771837941540,120
265,0,136,57771838580080,150
266,1,129,57771838941760,190
267,0,137,57771839580230,140
268,1,130,57771839941480,110
269,0,138,57771840579840,140
270,1,131,57771840941360,130
271,0,139,57771841579760,140
272,1,132,57771841941270,120
273,0,140,57771842579980,180
274,1,133,57771842941430,170
275,0,141,57771843579900,130
276,1,134,57771843941180,110
277,0,142,57771844579530,140
278,1,135,57771844941110,140
279,0,143,57771845579490,140
280,1,136,57771845940980,150
281,0,144,57771846580060,150
282,1,137,57771846941200,150
283,0,145,57771847579650,170
284,1,138,57771847940900,140
285,0,146,57771848579250,140
286,1,139,57771848940800,130
287,0,147,57771849579180,130
288,1,140,57771849940760,120
289,0,148,57771850579260,170
290,1,141,57771850940930,200
291,0,149,57771851579270,150
292,1,142,57771851940630,130
293,0,150,57771852579310,170
294,1,143,57771852940530,180
295,0,151,57771853578980,140
296,1,144,57771853940460,110
297,0,152,57771854578980,160
298,1,145,57771854940630,170
299,0,153,57771855579090,120
300,1,146,57771855940380,130
301,0,154,57771856578730,130
302,1,147,57771856940270,120
303,0,155,57771857578660,170
304,1,148,57771857940190,150
305,0,156,57771858578730,180
306,1,149,57771858940380,180
307,0,157,57771859578730,130
308,1,150,57771859940080,140
309,0,158,57771860578450,140
310,1,151,57771860939980,130
311,0,159,57771861578370,130
312,1,152,57771861939920,140
313,0,160,57771862578740,150
314,1,153,57771862940710,180
315,0,161,57771863578560,110
316,1,154,57771863939800,110
317,0,162,57771864578190,130
318,1,155,57771864939720,140
319,0,163,57771865578110,130
320,1,156,57771865939660,130
321,0,164,57771866579050,160
322,1,157,57771866939810,170
323,0,165,57771867578270,150
324,1,158,57771867939520,190
325,0,166,57771868577920,130
326,1,159,57771868939460,120
327,0,167,57771869577850,130
328,1,160,57771869939400,130
329,0,168,57771870577960,160
330,1,161,57771870939560,160
331,0,169,57771871577990,90
332,1,162,57771871939280,130
333,0,170,57771872577690,160
334,1,163,57771872939200,190
335,0,171,57771873577890,140
336,1,164,57771873939140,130
337,0,172,57771874577680,140
338,1,165,57771874939270,130
339,0,173,57771875577780,120
340,1,166,57771875939000,120
341,0,174,57771876578010,140
342,1,167,57771876938900,140
343,0,175,57771877577410,170
344,1,168,57771877938810,160
345,0,176,57771878577480,150
346,1,169,57771878939020,170
347,0,177,57771879577510,120
348,1,170,57771879938760,140
349,0,178,57771880577140,140
350,1,171,57771880938620,130
351,0,179,57771881577040,130
352,1,172,57771881938530,130
353,0,180,57771882577030,150
354,1,173,57771882938600,140
355,0,181,57771883577480,130
356,1,174,57771883938440,140
357,0,182,57771884576890,130
358,1,175,57771884938340,120
359,0,183,57771885576770,130
360,1,176,57771885938280,110
361,0,184,57771886576820,150
362,1,177,57771886938430,150
363,0,185,57771887576830,150
364,1,178,57771887938160,120
365,0,186,57771888576610,180
366,1,179,57771888938090,120
367,0,187,57771889576460,140
368,1,180,57771889938400,140
369,0,188,57771890576510,170
370,1,181,57771890938290,130
371,0,189,57771891576670,120
372,1,182,57771891939240,130
373,0,190,57771892576300,130
374,1,183,57771892937920,130
375,0,191,57771893576550,160
376,1,184,57771893937750,140
377,0,192,57771894576230,140
378,1,185,57771894938030,150
379,0,193,57771895576370,120
380,1,186,57771895937670,120
381,0,194,57771896576050,110
382,1,187,57771896937540,140
383,0,195,57771897575940,140
384,1,188,57771897937480,150
385,0,196,57771898576070,170
386,1,189,57771898937750,140
387,0,197,57771899576110,120
388,1,190,57771899937410,130
389,0,198,57771900575770,140
390,1,191,57771900937270,140
391,0,199,57771901575670,130
392,1,192,57771901937180,140
393,0,200,57771902575690,120
394,1,193,57771902937420,150
395,0,201,57771903575880,180
396,1,194,57771903937090,140
397,0,202,57771904575480,140
398,1,195,57771904936970,120
399,0,203,57771905575390,140
400,1,196,57771905936900,130
401,0,204,57771906575840,130
402,1,197,57771906937050,130
403,0,205,57771907575620,110
404,1,198,57771907936780,150
405,0,206,57771908575210,180
406,1,199,57771908936700,120
407,0,207,57771909575630,130
408,1,200,57771909936670,130
409,0,208,57771910575160,160
410,1,201,57771910936840,170
411,0,209,57771911575310,120
412,1,202,57771911936560,130
413,0,210,57771912574900,140
414,1,203,57771912936480,160
415,0,211,57771913575860,200
416,1,204,57771913937370,150
417,0,212,57771914575080,160
418,1,205,57771914936620,160
419,0,213,57771915575080,120
420,1,206,57771915936340,130
421,0,214,57771916574640,120
422,1,207,57771916936210,130
423,0,215,57771917574550,130
424,1,208,57771917936110,170
425,0,216,57771918574660,170
426,1,209,57771918936400,160
427,0,217,57771919574730,120
428,1,210,57771919936310,130
429,0,218,57771920574410,110
430,1,211,57771920936010,120
431,0,219,57771921574270,140
432,1,212,57771921935820,140
433,0,220,57771922574320,150
434,1,213,57771922936030,150
435,0,221,57771923574460,140
436,1,214,57771923935730,140
437,0,222,57771924574140,130
438,1,215,57771924935650,110
439,0,223,57771925574020,120
440,1,216,57771925935570,140
441,0,224,57771926574120,160
442,1,217,57771926935760,170
443,0,225,57771927574230,140
444,1,218,57771927935930,140
445,0,226,57771928573860,190
446,1,219,57771928935400,130
447,0,227,57771929573760,140
448,1,220,57771929935280,130
449,0,228,57771930573920,150
450,1,221,57771930935460,190
451,0,229,57771931573910,120
452,1,222,57771931935190,130
453,0,230,57771932573550,140
454,1,223,57771932935440,120
455,0,231,57771933573740,170
456,1,224,57771933935040,110
457,0,232,57771934573530,180
458,1,225,57771934935300,130
459,0,233,57771935573650,130
460,1,226,57771935935470,140
461,0,234,57771936573820,120
462,1,227,57771936934850,140
463,0,235,57771937573310,170
464,1,228,57771937934740,120
465,0,236,57771938573230,170
466,1,229,57771938934930,180
467,0,237,57771939573360,120
468,1,230,57771939934680,130
469,0,238,57771940573030,140
470,1,231,57771940934560,130
471,0,239,57771941572950,130
472,1,232,57771941934510,120
473,0,240,57771942572970,160
474,1,233,57771942934660,140
475,0,241,57771943573260,170
476,1,234,57771943934390,160
477,0,242,57771944572750,140
478,1,235,57771944934350,110
479,0,243,57771945572670,130
480,1,236,57771945934230,120
481,0,244,57771946572810,160
482,1,237,57771946934440,160
483,0,245,57771947572820,120
484,1,238,57771947934100,130
485,0,246,57771948572510,160
486,1,239,57771948933990,160
487,0,247,57771949572530,140
488,1,240,57771949934030,120
489,0,248,57771950572400,150
490,1,241,57771950934090,150
491,0,249,57771951572580,120
492,1,242,57771951933890,140
493,0,250,57771952572230,130
494,1,243,57771952933750,130
495,0,251,57771953572440,170
496,1,244,57771953933700,170
497,0,252,57771954572220,150
498,1,245,57771954933760,160
499,0,253,57771955572310,130
500,1,246,57771955933560,140
501,0,254,57771956572000,140
502,1,247,57771956933460,130
503,0,255,57771957571870,130
504,1,248,57771957933390,130
505,0,0,57771958571990,150
506,1,249,57771958933500,170
507,0,1,57771959572230,110
508,1,250,57771959933480,120
509,0,2,57771960571720,130
510,1,251,57771960933170,140
511,0,3,57771961571860,120
512,1,252,57771961933100,130
513,0,4,57771962571680,170
514,1,253,57771962933350,160
515,0,5,57771963571740,170
516,1,254,57771963933020,160
517,0,6,57771964571420,130
518,1,255,57771964932900,130
519,0,7,57771965571320,190
520,1,0,57771965932870,120
521,0,8,57771966571760,130
522,1,1,57771966932980,180
523,0,9,57771967571510,130
524,1,2,57771967932760,140
525,0,10,57771968571420,200
526,1,3,57771968932670,170
527,0,11,57771969571150,260
528,1,4,57771969932570,110
529,0,12,57771970571110,180
530,1,5,57771970932700,130
531,0,13,57771971571180,130
532,1,6,57771971932500,140
533,0,14,57771972570900,140
534,1,7,57771972932350,140
535,0,15,57771973571110,180
536,1,8,57771973932280,130
537,0,16,57771974570830,160
538,1,9,57771974932440,150
539,0,17,57771975571030,120
540,1,10,57771975932440,130
541,0,18,57771976570590,130
542,1,11,57771976932100,130
543,0,19,57771977570500,130
544,1,12,57771977932020,140
545,0,20,57771978570600,150
546,1,13,57771978932220,160
547,0,21,57771979570660,170
548,1,14,57771979931940,120
549,0,22,57771980570320,140
550,1,15,57771980931800,140
551,0,23,57771981570210,130
552,1,16,57771981931760,130
553,0,24,57771982570210,180
554,1,17,57771982931890,170
555,0,25,57771983570340,130
556,1,18,57771983931650,160
557,0,26,57771984570070,150
558,1,19,57771984931560,130
559,0,27,57771985569920,140
560,1,20,57771985931490,130
561,0,28,57771986569970,170
562,1,21,57771986931700,150
563,0,29,57771987570090,140
564,1,22,57771987931380,140
565,0,30,57771988569760,140
566,1,23,57771988931280,170
567,0,31,57771989569660,180
568,1,24,57771989931200,140
569,0,32,57771990569680,150
570,1,25,57771990931390,160
571,0,33,57771991569810,130
572,1,26,57771991931140,130
573,0,34,57771992569470,130
574,1,27,57771992930980,140
575,0,35,57771993569670,140
576,1,28,57771993930940,140
577,0,36,57771994569470,190
578,1,29,57771994931120,190
579,0,37,57771995569630,130
580,1,30,57771995930830,130
581,0,38,57771996569690,140
582,1,31,57771996930730,140
583,0,39,57771997569250,130
584,1,32,57771997930650,170
585,0,40,57771998569210,170
586,1,33,57771998930730,170
587,0,41,57771999569270,160
588,1,34,57771999930580,130
589,0,42,57772000568900,140
590,1,35,57772000930440,130
591,0,43,57772001568860,130
592,1,36,57772001930370,120
593,0,44,57772002568880,140
594,1,37,57772002930580,170
595,0,45,57772003569020,130
596,1,38,57772003930300,170
597,0,46,57772004568700,170
598,1,39,57772004930190,120
599,0,47,57772005568600,130
600,1,40,57772005930120,140
601,0,48,57772006568680,150
602,1,41,57772006930280,150
603,0,49,57772007568750,130
604,1,42,57772007930000,140
605,0,50,57772008568420,130
606,1,43,57772008929920,130
607,0,51,57772009568330,180
608,1,44,57772009929860,120
609,0,52,57772010568350,170
610,1,45,57772010930040,160
611,0,53,57772011568520,120
612,1,46,57772011929730,140
613,0,54,57772012568140,130
614,1,47,57772012929650,130
615,0,55,57772013568250,130
616,1,48,57772013929570,130
617,0,56,57772014568130,160
618,1,49,57772014929720,160
619,0,57,57772015568120,150
620,1,50,57772015929470,120
621,0,58,57772016567860,130
622,1,51,57772016929370,130
623,0,59,57772017567760,200
624,1,52,57772017929320,130
625,0,60,57772018567800,140
626,1,53,57772018932150,190
627,0,61,57772019568910,170
628,1,54,57772019929220,140
629,0,62,57772020567820,140
630,1,55,57772020929340,100
631,0,63,57772021567480,130
632,1,56,57772021929050,130
633,0,64,57772022567800,150
634,1,57,57772022929150,150
635,0,65,57772023567730,120
636,1,58,57772023928930,140
637,0,66,57772024567350,180
638,1,59,57772024928840,140
639,0,67,57772025567240,130
640,1,60,57772025928780,120
641,0,68,57772026567700,140
642,1,61,57772026928950,140
643,0,69,57772027567420,120
644,1,62,57772027929040,130
645,0,70,57772028567020,140
646,1,63,57772028928620,120
647,0,71,57772029566930,170
648,1,64,57772029928480,160
649,0,72,57772030566990,170
650,1,65,57772030928750,130
651,0,73,57772031567200,110
652,1,66,57772031928420,140
653,0,74,57772032566770,130
654,1,67,57772032928310,120
655,0,75,57772033566970,140
656,1,68,57772033928450,140
657,0,76,57772034566820,170
658,1,69,57772034928330,180
659,0,77,57772035566870,120
660,1,70,57772035928110,130
661,0,78,57772036566480,130
662,1,71,57772036928020,130
663,0,79,57772037566400,170
664,1,72,57772037927970,130
665,0,80,57772038566470,170
666,1,73,57772038928080,160
667,0,81,57772039566540,150
668,1,74,57772039927860,160
669,0,82,57772040566250,140
670,1,75,57772040927780,130
671,0,83,57772041566120,140
672,1,76,57772041927690,140
673,0,84,57772042566110,160
674,1,77,57772042927800,200
675,0,85,57772043566340,140
676,1,78,57772043927580,130
677,0,86,57772044566020,160
678,1,79,57772044927490,190
679,0,87,57772045565850,140
680,1,80,57772045927380,110
681,0,88,57772046566050,160
682,1,81,57772046927510,180
683,0,89,57772047566020,110
684,1,82,57772047927280,130
685,0,90,57772048565680,130
686,1,83,57772048927170,120
687,0,91,57772049565590,170
688,1,84,57772049927110,140
689,0,92,57772050565600,150
690,1,85,57772050927250,190
691,0,93,57772051565720,130
692,1,86,57772051927030,140
693,0,94,57772052565420,130
694,1,87,57772052926950,120
695,0,95,57772053565310,140
696,1,88,57772053926860,120
697,0,96,57772054565480,160
698,1,89,57772054927110,170
699,0,97,57772055565440,120
700,1,90,57772055926760,140
701,0,98,57772056565560,150
702,1,91,57772056926760,140
703,0,99,57772057565120,130
704,1,92,57772057926570,140
705,0,100,57772058565080,170
706,1,93,57772058926680,170
707,0,101,57772059565150,150
708,1,94,57772059926460,110
709,0,102,57772060564850,160
710,1,95,57772060926380,140
711,0,103,57772061564740,130
712,1,96,57772061926300,100
713,0,104,57772062564740,170
714,1,97,57772062926490,150
715,0,105,57772063564870,120
716,1,98,57772063926150,130
717,0,106,57772064564970,180
718,1,99,57772064926100,130
719,0,107,57772065564600,160
720,1,100,57772065926030,140
721,0,108,57772066564540,130
722,1,101,57772066926150,190
723,0,109,57772067564640,120
724,1,102,57772067925950,140
725,0,110,57772068564350,140
726,1,103,57772068925820,120
727,0,111,57772069564210,130
728,1,104,57772069925750,150
729,0,112,57772070564260,180
730,1,105,57772070925960,150
731,0,113,57772071564440,110
732,1,106,57772071925660,140
733,0,114,57772072564050,130
734,1,107,57772072925570,130
735,0,115,57772073563970,130
736,1,108,57772073925480,120
737,0,116,57772074564120,160
738,1,109,57772074925630,190
739,0,117,57772075563990,160
740,1,110,57772075925360,130
741,0,118,57772076563780,130
742,1,111,57772076925290,140
743,0,119,57772077563680,140
744,1,112,57772077925630,130
745,0,120,57772078563770,140
746,1,113,57772078925440,160
747,0,121,57772079564540,130
748,1,114,57772079925090,150
749,0,122,57772080563540,180
750,1,115,57772080925050,130
751,0,123,57772081563400,120
752,1,116,57772081924950,130
753,0,124,57772082563490,150
754,1,117,57772082925110,140
755,0,125,57772083563670,120
756,1,118,57772083924870,140
757,0,126,57772084563530,130
758,1,119,57772084924750,150
759,0,127,57772085563170,170
760,1,120,57772085924710,130
761,0,128,57772086563600,150
762,1,121,57772086924860,140
763,0,129,57772087563350,120
764,1,122,57772087924600,130
765,0,130,57772088562950,130
766,1,123,57772088924490,110
767,0,131,57772089562860,140
768,1,124,57772089924440,150
769,0,132,57772090562860,170
770,1,125,57772090924600,160
771,0,133,57772091563070,120
772,1,126,57772091925440,150
773,0,134,57772092562680,130
774,1,127,57772092924300,140
775,0,135,57772093562590,140
776,1,128,57772093924150,150
777,0,136,57772094562800,150
778,1,129,57772094924380,200
779,0,137,57772095562750,160
780,1,130,57772095924050,130
781,0,138,57772096562420,130
782,1,131,57772096923950,140
783,0,139,57772097562320,130
784,1,132,57772097923900,140
785,0,140,57772098562320,140
786,1,133,57772098924140,160
787,0,141,57772099562470,100
788,1,134,57772099923740,150
789,0,142,57772100562160,180
790,1,135,57772100923630,140
791,0,143,57772101562070,140
792,1,136,57772101923610,130
793,0,144,57772102562050,140
794,1,137,57772102923750,150
795,0,145,57772103562190,120
796,1,138,57772103923490,120
797,0,146,57772104562120,120
798,1,139,57772104923410,140
799,0,147,57772105561800,180
800,1,140,57772105923320,120
801,0,148,57772106561790,170
802,1,141,57772106923490,170
803,0,149,57772107561880,130
804,1,142,57772107923220,140
805,0,150,57772108561570,140
806,1,143,57772108923130,130
807,0,151,57772109561500,130
808,1,144,57772109923030,130
809,0,152,57772110561470,170
810,1,145,57772110923160,140
811,0,153,57772111561660,130
812,1,146,57772111922960,140
813,0,154,57772112561340,140
814,1,147,57772112922860,130
815,0,155,57772113563070,140
816,1,148,57772113923500,140
817,0,156,57772114561500,150
818,1,149,57772114923040,150
819,0,157,57772115561320,200
820,1,150,57772115922640,140
821,0,158,57772116561660,150
822,1,151,57772116922590,120
823,0,159,57772117561100,130
824,1,152,57772117922500,120
825,0,160,57772118561000,170
826,1,153,57772118922760,140
827,0,161,57772119561110,130
